Gene1	Gene2	rho1	version	ID	rank_rho	V3
ENSG00000011295	ENSG00000126858	0.593607692307693	1	126874314	171300898.5	1
ENSG00000011295	ENSG00000160194	-0.613192307692308	1	189916574	174104607	1
ENSG00000011295	ENSG00000167863	0.456169230769231	1	135506249	145073412	1
ENSG00000011295	ENSG00000178127	0.533846153846154	1	139302153	161286997.5	1
ENSG00000011295	ENSG00000205138	0.185	1	165462903	65846897.5	1
ENSG00000021645	ENSG00000125848	0.393761538461539	1	145390535	129644023.5	1
ENSG00000021645	ENSG00000141385	0.127638461538462	1	139617404	45956296.5	1
ENSG00000021645	ENSG00000141556	0.232884615384615	1	138516755	81838540.5	1
ENSG00000021645	ENSG00000159082	0.342869230769231	1	188358645	115667595	1
ENSG00000021645	ENSG00000160460	0.605707692307692	1	167742479	173059657.5	1
ENSG00000021645	ENSG00000214078	-0.0405923076923077	1	147667229	14751669.5	1
ENSG00000022355	ENSG00000073464	0.718961538461539	1	31151588	185229656.5	1
ENSG00000022355	ENSG00000101958	0.670669230769231	1	31277996	180974221.5	1
ENSG00000022355	ENSG00000166206	0.871561538461539	1	96812465	191074929.5	1
ENSG00000022355	ENSG00000167614	-0.7129	1	174860160	184768798	1
ENSG00000022840	ENSG00000102858	0.131261538461539	1	108978440	47232160	1
ENSG00000022840	ENSG00000109079	0.313353846153846	1	125647763	107041131	1
ENSG00000022840	ENSG00000166477	0.230346153846154	1	100032033	81008020	1
ENSG00000022840	ENSG00000174943	0.332438461538462	1	112385273	112661321	1
ENSG00000022840	ENSG00000182670	0.250453846153846	1	189173712	87530678.5	1
ENSG00000022840	ENSG00000198373	-0.0762230769230769	1	117004193	27629796.5	1
ENSG00000023228	ENSG00000006695	0.5714	1	123916118	167836875	1
ENSG00000023228	ENSG00000011295	0.752107692307692	1	124136611	187395544.5	1
ENSG00000023228	ENSG00000099624	-0.386915384615385	1	152996743	127832570	1
ENSG00000023228	ENSG00000104381	0.770423076923077	1	39204050	188347204.5	1
ENSG00000023228	ENSG00000107959	0.567292307692308	1	61314166	167163889	1
ENSG00000023228	ENSG00000110497	-0.438015384615385	1	52847305	140792115	1
ENSG00000023228	ENSG00000110711	-0.571653846153846	1	56092901	167878221.5	1
ENSG00000023228	ENSG00000111775	-0.222107692307692	1	80997593	78297006	1
ENSG00000023228	ENSG00000120910	-0.343515384615385	1	37030280	115852703.5	1
ENSG00000023228	ENSG00000124608	0.0305461538461539	1	20672200	11104991.5	1
ENSG00000023228	ENSG00000126858	0.594669230769231	1	126861521	171458235	1
ENSG00000023228	ENSG00000130414	0.437515384615385	1	5016326	140672085	1
ENSG00000023228	ENSG00000131495	-0.284392307692308	1	15764270	98236301	1
ENSG00000023228	ENSG00000140740	0.894015384615385	1	110881351	191259719.5	1
ENSG00000023228	ENSG00000140983	-0.354423076923077	1	106750931	118943051	1
ENSG00000023228	ENSG00000151729	0.809784615384616	1	12480475	189867024.5	1
ENSG00000023228	ENSG00000160194	-0.733153846153846	1	189903781	186228772	1
ENSG00000023228	ENSG00000163528	0.510407692307692	1	5419951	156764757.5	1
ENSG00000023228	ENSG00000165943	0.778823076923077	1	94678645	188729656.5	1
ENSG00000023228	ENSG00000167792	0.190607692307692	1	56135275	67754100	1
ENSG00000023228	ENSG00000167863	0.279746153846154	1	135493456	96794178.5	1
